Events,Occurrences
4540,1
1249,2
617,3
361,4
223,5
188,6
107,7
113,8
68,9
56,10
57,11
61,12
31,13
44,14
37,15
22,16
36,17
17,18
28,19
19,20
27,21
22,22
14,23
13,24
16,25
9,26
18,27
7,28
12,29
7,30
29,31
15,32
12,33
8,34
9,35
7,36
3,37
2,38
9,39
8,40
4,41
6,42
724,43
281,44
3,45
5,46
3,47
3,48
1,49
5,50
5,51
4,52
3,53
2,54
1,55
1,56
4,57
4,58
2,59
2,60
1,61
3,62
2,63
3,65
3,66
4,67
4,68
2,69
2,70
2,71
3,73
1,74
2,75
2,76
3,77
1,79
2,80
1,81
1,82
4,83
3,84
4,85
1,86
2,87
1,88
1,91
4,93
5,94
2,96
1,97
3,98
1,99
2,101
2,103
3,104
3,105
2,106
1,107
2,108
2,109
1,112
3,113
2,115
3,116
1,117
1,118
5,119
1,125
1,126
1,127
1,129
2,130
1,132
3,140
1,141
1,142
1,145
1,151
1,154
1,155
1,156
2,157
1,160
2,161
1,168
1,169
1,171
1,172
1,176
1,177
1,178
1,179
1,180
1,188
1,192
1,194
1,199
1,206
1,209
1,220
1,222
1,229
1,231
1,232
1,236
1,240
1,244
1,260
1,268
1,275
1,276
1,297
1,299
1,300
1,326
1,330
1,335
1,337
1,341
1,345
1,354
1,356
1,395
1,396
1,401
1,407
1,422
1,438
1,442
1,464
1,480
1,487
1,594
1,621
1,635
1,646
1,711
1,727
1,732
1,796
1,814
1,868
1,895
1,1036
1,1087
1,1258
1,1262
1,1329
1,1370
1,1494
1,1525
1,1639
