FloodScore,Occurrences,AverageTimestamp,StdDevTimestamp,FirstIndex,scope,source,field,value,signature
0.0003665655867983704,192,1696787092,523780.7555175923,20970,hosts,ynkhg.inks.isa.kja,loginfrom,39.710.885.758,@784.8.884.79
0.0003538511135275079,151,1697119142,426733.1491335309,20980,hosts,totpg.inks.isa.kja,loginfrom,39.710.885.758,@784.8.884.79
0.00025304180823372037,116,1699268937,458422.2694648838,26406,hosts,ynkhg.inks.isa.kja,loginfrom,53.793.93.1,@784.8.884.79
0.00020829979888442677,103,1699262078,494479.594083279,26546,hosts,totpg.inks.isa.kja,loginfrom,53.793.93.1,@784.8.884.79
0.00018415342135275607,1525,1712286701,8281138.568035497,120243,hosts,fdi3.sgzn.isa.kja,userlogin,sgiqke,@784.8.779.788
0.0001832083363992444,1494,1711029671,8154650.7618752755,120245,hosts,toxbgtg.vney.isa.kja,userlogin,bumkr,@784.8.771.75
0.00017681695004890838,1329,1712368700,7516247.733220104,120244,hosts,toxbgtg.vney.isa.kja,loginfrom,39.870.805.98,@784.8.771.75
0.00017085221925521095,1370,1710375770,8018625.722113442,120255,hosts,haxmkxy.sgzn.isa.kja,userlogin,xvkmu,@784.8.771.37
0.00015047920383507975,118,1723387411,784161.5119742666,119706,hosts,iusvikrr.vney.isa.kja,loginfrom,52.892.868.784,@784.8.770.09
0.0001330357402154137,341,1721611671,2563220.976918286,119962,hosts,iusvikrr.vney.isa.kja,userlogin,tckytgq,@784.8.770.09
0.00013020333075199547,1639,1702980474,12588003.628892427,120229,hosts,rkmhg.sgzn.isa.kja,userlogin,piassotm,@784.8.770.819
0.0001269783257286849,727,1715907882,5725386.563635937,118947,hosts,fdi3.sgzn.isa.kja,loginfrom,784.8.98.719,@784.8.779.788
0.000122655552101191,168,1699104340,1369689.3220243286,28681,hosts,fdi3.sgzn.isa.kja,loginfrom,766.2.720.872,@784.8.779.788
0.00012228095155056526,268,1718207378,2191674.145495813,63630,hosts,ingxs0.vney.isa.kja,userlogin,zxfkygif,@784.8.779.886
0.00011207508053270221,1087,1706439396,9698855.399732022,119452,hosts,totpg.inks.isa.kja,userlogin,eocktcgt,@784.8.884.79
0.00010904893743528547,229,1714641728,2099974.6112693567,57746,hosts,wck7.sgzn.isa.kja,loginfrom,37.748.737.806,@784.8.98.719
0.00010550194539620887,480,1718077708,4549679.138118039,119889,hosts,jgsoto.vney.isa.kja,userlogin,gnskjq,@784.8.778.58
